Date,Open,High,Low,Close,Volume,Adj Close
2006-12-29,40.00,40.00,39.549999,39.91,548200,37.348623
2006-12-28,40.049999,40.349998,39.880001,40.169998,405000,37.591935
2006-12-27,39.470001,39.790001,39.27,39.790001,307800,37.236325
2006-12-26,39.25,39.66,38.869999,39.029999,439800,36.525099
2006-12-22,38.950001,38.950001,38.310001,38.689999,611300,36.20692
2006-12-21,39.540001,39.57,38.610001,39.00,1078700,36.497026
2006-12-20,40.419998,40.450001,39.50,39.68,1064200,37.025765
2006-12-19,39.299999,40.419998,39.299999,40.419998,851600,37.716263
2006-12-18,39.73,39.889999,39.189999,39.32,729500,36.689845
2006-12-15,40.580002,40.790001,39.509998,39.759998,998800,37.100412
2006-12-14,40.43,40.700001,40.169998,40.549999,1725200,37.837569
2006-12-13,40.25,40.57,39.830002,40.400002,584700,37.697604
2006-12-12,40.540001,40.700001,39.84,40.360001,873400,37.660279
2006-12-11,40.450001,41.07,40.450001,40.830002,518300,38.098842
2006-12-08,41.549999,41.619999,40.299999,40.50,790400,37.790914
2006-12-07,41.07,41.490002,40.220001,41.25,962500,38.490746
2006-12-06,40.959999,41.630001,40.799999,40.91,804400,38.173488
2006-12-05,42.099998,42.32,41.240002,41.580002,960500,38.798673
2006-12-04,41.740002,42.119999,41.209999,42.09,837800,39.274557
2006-12-01,41.849998,41.990002,41.220001,41.540001,1057500,38.761348
2006-11-30,41.169998,41.98,41.029999,41.98,1055700,39.171915
2006-11-29,40.189999,40.529999,40.029999,40.529999,597700,37.818906
2006-11-28,39.990002,40.400002,39.700001,40.400002,817000,37.697604
2006-11-27,40.290001,40.450001,39.860001,39.959999,545700,37.287034
2006-11-24,39.93,40.209999,39.650002,39.900002,588000,37.23105
2006-11-22,39.099998,39.52,38.59,38.84,463300,36.241953
2006-11-21,37.889999,38.740002,37.869999,38.689999,845400,36.101985
2006-11-20,37.860001,38.169998,37.25,37.32,343900,34.823627
2006-11-17,37.040001,37.669998,36.669998,37.349998,672900,34.851619
2006-11-16,38.950001,39.040001,37.32,37.32,1309500,34.823627
2006-11-15,37.91,39.060001,37.75,38.880001,553300,36.279278
2006-11-14,39.259998,39.279999,38.310001,38.400002,438000,35.831386
2006-11-13,38.259998,38.939999,38.049999,38.919998,492100,36.3166
2006-11-10,39.560001,39.709999,38.790001,39.009998,681900,36.40058
2006-11-09,38.849998,39.970001,38.639999,39.900002,585600,37.23105
2006-11-08,38.299999,38.68,37.919998,38.259998,341100,35.700748
2006-11-07,38.759998,38.950001,38.299999,38.549999,365200,35.971351
2006-11-06,38.669998,39.25,38.41,38.43,661700,35.859379
2006-11-03,38.299999,38.950001,38.25,38.799999,1442400,36.204628
2006-11-02,38.150002,38.799999,37.919998,38.34,551500,35.775399
2006-11-01,38.529999,38.880001,37.75,38.040001,856800,35.495467
2006-10-31,37.009998,37.970001,37.00,37.959999,583000,35.420816
2006-10-30,38.040001,38.040001,37.009998,37.009998,522300,34.534362
2006-10-27,37.200001,37.57,36.84,36.84,433200,34.375735
2006-10-26,37.50,37.639999,36.91,37.27,682400,34.776972
2006-10-25,36.200001,37.349998,36.009998,37.349998,746900,34.851619
2006-10-24,35.509998,36.599998,35.509998,36.330002,675900,33.899851
2006-10-23,35.18,36.080002,35.07,36.080002,481800,33.666574
2006-10-20,36.290001,36.599998,35.73,35.740002,492400,33.349317
2006-10-19,35.650002,36.450001,35.59,36.34,782900,33.909181
2006-10-18,35.990002,35.990002,35.099998,35.18,336200,32.826774
2006-10-17,35.990002,35.990002,35.139999,35.799999,402400,33.405301
2006-10-16,36.200001,36.200001,35.41,36.060001,946300,33.647911
2006-10-13,35.25,35.799999,35.16,35.790001,977200,33.395971
2006-10-12,33.93,34.779999,33.720001,34.700001,626200,32.378883
2006-10-11,34.599998,34.599998,33.779999,33.810001,385400,31.548416
2006-10-10,33.560001,34.689999,33.529999,34.43,473800,32.126943
2006-10-09,35.00,35.07,34.07,34.09,477700,31.809685
2006-10-06,34.48,34.860001,33.77,34.369999,458300,32.070955
2006-10-05,34.459999,34.799999,34.040001,34.509998,493900,32.20159
2006-10-04,33.400002,33.77,32.41,33.77,1014300,31.511091
2006-10-03,34.619999,34.700001,33.380001,33.459999,942700,31.221826
2006-10-02,35.950001,36.439999,35.549999,35.73,275600,33.339984
2006-09-29,35.400002,36.220001,35.400002,35.650002,342000,33.265337
2006-09-28,36.41,36.689999,35.959999,35.959999,499300,33.554598
2006-09-27,36.040001,36.41,35.23,36.389999,594900,33.955835
2006-09-26,34.560001,35.639999,34.490002,35.630001,814100,33.246674
2006-09-25,34.790001,34.84,33.860001,34.459999,711100,32.154935
2006-09-22,35.650002,35.650002,34.799999,34.849998,886000,32.518847
2006-09-21,34.700001,35.119999,34.209999,34.799999,453900,32.472192
2006-09-20,35.02,35.279999,34.299999,34.360001,946400,32.061625
2006-09-19,35.900002,36.049999,34.630001,34.68,615000,32.36022
2006-09-18,35.110001,36.240002,35.110001,36.150002,625000,33.731891
2006-09-15,35.009998,35.470001,34.34,35.23,784400,32.873429
2006-09-14,36.50,36.639999,34.77,34.950001,859600,32.61216
2006-09-13,36.360001,36.740002,36.150002,36.349998,386500,33.91851
2006-09-12,36.41,36.950001,35.73,36.07,725900,33.657241
2006-09-11,37.509998,37.779999,36.259998,36.400002,1646500,33.965168
2006-09-08,39.599998,39.599998,39.099998,39.240002,754000,36.615198
2006-09-07,40.50,40.970001,40.209999,40.299999,851900,37.604291
2006-09-06,41.84,42.580002,41.560001,41.700001,664700,38.910645
2006-09-05,41.650002,42.169998,41.50,42.099998,669700,39.283887
2006-09-01,40.25,41.080002,40.009998,40.889999,241700,38.154826
2006-08-31,40.290001,40.599998,40.02,40.59,535200,37.874894
2006-08-30,39.860001,40.099998,39.099998,39.509998,525600,36.867134
2006-08-29,39.049999,39.349998,38.450001,39.349998,853100,36.717837
2006-08-28,39.869999,39.880001,39.049999,39.09,345900,36.47523
2006-08-25,40.099998,40.34,39.799999,39.98,188200,37.305697
2006-08-24,40.599998,40.689999,39.599998,39.75,327300,37.091082
2006-08-23,40.950001,41.220001,40.23,40.380001,402700,37.678942
2006-08-22,40.00,40.50,39.669998,40.50,304100,37.790914
2006-08-21,39.150002,40.290001,39.00,40.290001,408000,37.594962
2006-08-18,38.549999,38.549999,37.619999,38.380001,317100,35.812724
2006-08-17,39.049999,39.09,38.02,38.279999,277300,35.719411
2006-08-16,39.23,39.459999,39.060001,39.189999,199600,36.56854
2006-08-15,38.150002,38.720001,38.150002,38.560001,298300,35.980684
2006-08-14,38.52,38.84,37.880001,38.040001,420300,35.495467
2006-08-11,40.099998,40.240002,38.68,38.689999,512100,36.101985
2006-08-10,40.299999,40.380001,39.189999,39.75,745600,37.091082
2006-08-09,40.040001,40.860001,39.799999,40.580002,631000,37.865564
2006-08-08,39.990002,40.450001,39.57,39.720001,361100,37.06309
2006-08-07,39.799999,40.419998,39.720001,40.119999,279900,37.436331
2006-08-04,40.669998,40.77,39.540001,39.59,501700,36.941785
2006-08-03,40.290001,40.450001,39.560001,39.91,496400,37.240379
2006-08-02,40.34,40.700001,39.810001,40.66,944300,37.940211
2006-08-01,38.59,39.75,38.299999,39.75,536600,37.091082
2006-07-31,38.73,38.860001,38.23,38.759998,233900,36.167303
2006-07-28,37.779999,38.779999,37.689999,38.779999,371400,36.185965
2006-07-27,39.349998,39.369999,37.369999,37.50,518000,34.991587
2006-07-26,37.490002,38.389999,37.18,38.360001,361800,35.794061
2006-07-25,36.830002,37.790001,36.419998,37.689999,949400,35.168876
2006-07-24,35.50,36.82,35.189999,36.689999,1086500,34.235767
2006-07-21,37.080002,37.299999,35.810001,35.810001,646200,33.414634
2006-07-20,38.209999,38.330002,36.830002,36.830002,415200,34.366406
2006-07-19,36.900002,38.509998,36.900002,38.439999,515300,35.868708
2006-07-18,37.889999,37.959999,36.43,37.00,800200,34.525032
2006-07-17,38.32,38.669998,37.400002,37.400002,777700,34.898277
2006-07-14,38.900002,39.130001,38.34,38.970001,459500,36.363258
2006-07-13,39.48,39.50,38.279999,38.330002,647700,35.766069
2006-07-12,40.110001,40.459999,39.369999,39.490002,519500,36.848475
2006-07-11,39.029999,39.759998,38.790001,39.759998,512700,37.100412
2006-07-10,38.389999,39.130001,38.25,38.669998,401400,36.083323
2006-07-07,39.68,39.880001,38.950001,39.029999,500500,36.419243
2006-07-06,39.50,39.990002,39.040001,39.73,411100,37.07242
2006-07-05,40.099998,40.459999,38.849998,39.369999,685600,36.7365
2006-07-03,39.400002,40.23,39.32,40.23,561200,37.538974
2006-06-30,38.700001,39.060001,38.32,38.700001,1069400,36.111318
2006-06-29,35.950001,37.959999,35.939999,37.959999,588500,35.420816
2006-06-28,35.700001,35.93,35.00,35.310001,415200,32.94808
2006-06-27,36.970001,37.049999,35.48,35.48,469200,33.106706
2006-06-26,36.619999,36.799999,36.150002,36.630001,301500,34.179783
2006-06-23,35.169998,36.50,35.150002,36.279999,467800,33.853193
2006-06-22,36.00,36.209999,35.169998,35.639999,590000,33.256004
2006-06-21,34.599998,36.040001,34.599998,35.860001,551000,33.461289
2006-06-20,33.91,34.73,33.599998,34.34,388500,32.042963
2006-06-19,34.169998,34.470001,33.57,33.599998,366100,31.35246
2006-06-16,35.00,35.00,34.299999,34.57,602300,32.257577
2006-06-15,34.400002,35.049999,34.00,34.939999,882200,32.602827
2006-06-14,32.849998,33.50,32.25,33.029999,646800,30.820589
2006-06-13,32.66,33.150002,31.82,32.200001,1580900,30.04611
2006-06-12,35.48,35.630001,33.759998,33.779999,584700,31.52042
2006-06-09,35.75,36.189999,34.860001,35.07,542200,32.724132
2006-06-08,35.27,35.380001,33.619999,35.27,812800,32.910754
2006-06-07,36.310001,37.549999,35.82,36.139999,484100,33.722558
2006-06-06,38.029999,38.029999,36.720001,37.009998,663600,34.534362
2006-06-05,40.27,40.27,38.099998,38.130001,436000,35.579447
2006-06-02,39.310001,39.389999,38.799999,39.130001,277300,36.512556
2006-06-01,37.200001,38.580002,37.169998,38.529999,641300,35.952688
2006-05-31,38.900002,39.130001,38.119999,38.849998,350700,36.251283
2006-05-30,39.50,39.720001,38.110001,38.169998,559100,35.616768
2006-05-26,38.740002,38.740002,37.77,38.549999,269400,35.971351
2006-05-25,37.18,38.32,36.98,38.32,367000,35.756736
2006-05-24,37.130001,37.57,35.869999,36.52,638600,34.077141
2006-05-23,37.75,39.220001,37.75,37.959999,620900,35.420816
2006-05-22,36.52,37.290001,35.869999,37.23,197100,34.739647
